회차,일자,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨자수,1등 당첨금액,총 판매금액
904회,2020년03월28일,2,6,8,26,43,45,11,8,"2,718,077,813원","88,938,220,000원"
905회,2020년04월04일,3,4,16,27,38,40,20,7,"3,017,862,536원","90,357,634,000원"
906회,2020년04월11일,2,5,14,28,31,32,20,9,"2,472,607,250원","90,948,274,000원"
907회,2020년04월18일,21,27,29,38,40,44,37,7,"3,165,059,036원","89,331,282,000원"
908회,2020년04월25일,3,16,21,22,23,44,30,8,"2,834,856,141원","89,923,601,000원"
909회,2020년05월02일,7,24,29,30,34,35,33,11,"2,021,062,875원","89,543,261,000원"
910회,2020년05월09일,1,11,17,27,35,39,31,21,"941,316,375원","86,308,857,000원"
911회,2020년05월16일,4,5,12,14,32,42,35,10,"2,113,538,625원","89,332,410,000원"
912회,2020년05월23일,5,8,18,21,22,38,10,14,"1,493,500,581원","88,599,155,000원"
913회,2020년05월30일,6,14,16,21,27,37,40,16,"1,338,755,602원","89,336,949,000원"
914회,2020년06월06일,16,19,24,33,42,44,27,11,"1,950,005,557원","89,558,503,000원"
915회,2020년06월13일,2,6,11,13,22,37,14,6,"3,518,640,500원","87,862,418,000원"
916회,2020년06월20일,6,21,22,32,35,36,17,11,"2,025,384,341원","89,133,044,000원"
917회,2020년06월27일,1,3,23,24,27,43,34,10,"2,144,799,638원","88,950,867,000원"
918회,2020년07월04일,7,11,12,31,33,38,5,18,"1,117,622,646원","89,200,857,000원"
919회,2020년07월11일,9,14,17,18,42,44,35,5,"4,305,150,450원","90,218,056,000원"
920회,2020년07월18일,2,3,26,33,34,43,29,7,"3,120,260,197원","89,805,177,000원"
921회,2020년07월25일,5,7,12,22,28,41,1,17,"1,232,573,405원","89,888,341,000원"
922회,2020년08월01일,2,6,13,17,27,43,36,6,"3,417,904,500원","89,266,682,000원"
923회,2020년08월08일,3,17,18,23,36,41,26,8,"2,667,554,625원","87,867,402,000원"
924회,2020년08월15일,3,11,34,42,43,44,13,9,"2,382,430,667원","87,708,256,000원"
925회,2020년08월22일,13,24,32,34,39,42,4,12,"1,771,080,532원","87,901,067,000원"
926회,2020년08월29일,10,16,18,20,25,31,6,10,"2,032,490,663원","88,372,251,000원"
927회,2020년09월05일,4,15,22,38,41,43,26,6,"3,714,203,875원","91,067,752,000원"
928회,2020년09월12일,3,4,10,20,28,44,30,7,"3,134,591,358원","90,818,982,000원"
929회,2020년09월19일,7,9,12,15,19,23,4,16,"1,308,035,157원","92,344,620,000원"
930회,2020년09월26일,8,21,25,38,39,44,28,8,"2,832,418,829원","94,518,415,000원"
931회,2020년10월03일,14,15,23,25,35,43,32,8,"2,957,108,063원","95,695,802,000원"
932회,2020년10월10일,1,6,15,36,37,38,5,7,"3,390,022,983원","96,049,289,000원"
